date,submission,public_score,notes
2026-05-08,direct_step_rank2_cadeltascaledlgbmboundary_f0.52_s0.58_u0.78.csv,0.67340,LGBM scale-normalized CA residual improved slightly over the previous anchor
2026-05-08,direct_step_pure_lgbmboundary_f1.02_s1.00_u1.00.csv,0.67800,pure direct-step local target produced a new public best and opened the next research branch
2026-05-09,direct_refine_oldweight_caa5_f1.02_s1.00_u1.00_5seed.csv,0.67860,old direct-step boundary weight with 5-seed ensemble gave a small stable improvement
2026-05-09,direct_refine_rank1_caa6s0055c0105_f1.02_s1.00_u1.00_5seed.csv,0.68240,stronger CA-boundary direct-step weight produced a major public jump
2026-05-09,direct_refine_rank2_caa6s0055c0105_f1.02_s1.04_u0.96_5seed.csv,0.68260,axis multiplier tilt on the CA-boundary direct-step model became the new public best
2026-05-09,direct_micro_rank1_fromcaa6_f1.02_s1.06_u0.94.csv,0.68300,micro multiplier probe around the CA-boundary direct-step model produced the current public best
2026-05-09,direct_micro_rank5_fromcaa6_f1.03_s1.04_u0.96.csv,0.68260,forward-only micro probe tied the previous best but did not improve
2026-05-10,direct_selector_rank1_selectorconf055.csv,0.68340,sample-wise direct multiplier selector with conservative confidence routing improved the direct-step anchor
2026-05-10,selector_adjust_rank1_extend115.csv,0.68340,small extension of the winning selector direction tied the selector anchor
2026-05-10,selector_adjust_rank2_shrink075.csv,0.68320,shrinking the selector movement reduced public score and confirmed the route signal should not be weakened too much
2026-05-10,selector_adjust_rank4_conf45pull015.csv,0.68360,slightly wider confidence routing around selector_conf0.55 produced the current public best
2026-05-10,selector_adjust_rank5_extend130.csv,0.68340,more aggressive extension of the selector movement tied but did not beat the selector anchor
2026-05-11,route_refine_rank2_conf45pull200.csv,0.68360,conf0.45 pull weight 0.20 tied the previous best and showed the pull grid was saturated
2026-05-11,route_refine_rank1_conf45pull100.csv,0.68360,conf0.45 pull weight 0.10 also tied the previous best
2026-05-11,route_refine_rank3_conf45pull250.csv,0.68360,conf0.45 pull weight 0.25 tied the previous best with no extra gain
2026-05-11,direct_selector_rank2_selectorsoft.csv,0.68440,probability-weighted soft selector produced the current public best
2026-05-11,direct_selector_rank4_selectorconf045.csv,0.68420,full conf0.45 routing improved over the previous best but trailed selector soft
2026-05-12,softtemp_rank8_top3t100.csv,0.68420,top-3 truncation of selector soft probability underperformed the full soft anchor
2026-05-12,softtemp_rank1_softt075.csv,0.68420,sharper selector probability temperature underperformed the full soft anchor
2026-05-12,seedens_rank1_seedens3.csv,0.68420,3-seed selector probability ensemble underperformed the full soft anchor
2026-05-12,seedens_rank3_seedens3blend35.csv,0.68440,35% blend of 3-seed selector ensemble tied the current public best
2026-05-12,expanded_selector_rank1_expandedsoftblend015.csv,0.68400,expanded multiplier candidate pool blend underperformed and should be deprioritized
2026-05-15,route_gain_top_candidates,0.68420,two route-gain fallback candidates tied below the selector-soft public best
2026-05-15,analogres_rank1_k64s010.csv,0.68300,analog residual correction OOF rank 1 underperformed on public
2026-05-15,analogres_rank2_k96s015.csv,0.68300,stronger analog residual correction also underperformed on public
2026-05-15,analogres_rank3_k128s010.csv,0.68360,best public analog residual candidate still trailed selector-soft anchor
2026-05-16,hitprob_rank1_anchorblendtop3p4w015.csv,0.68420,candidate-level hit probability router underperformed the selector-soft anchor
2026-05-16,hitprob_extra_top3blend030.csv,0.68420,stronger hit-probability top3 blend still underperformed
2026-05-16,temporalbc_rank1_anchorblend35_tbc678w020_f1.02_s1.00_u1.00.csv,0.68620,temporal-backcast augmentation confirmed a new public-improving axis
2026-05-16,temporalbc_rank1_anchorblend50_tbc678w020_f1.02_s1.00_u1.00.csv,0.68780,50% blend with temporal-backcast model produced the new public best
2026-05-16,temporalbc_rank1_tbc678w020_f1.02_s1.00_u1.00.csv,0.68640,pure temporal-backcast model was strong but weaker than the 50% anchor blend
2026-05-17,temporalbc_refine_r1f102s100u100_w52.csv,0.68800,52% temporal-backcast blend improved over the first 50% probe
2026-05-18,temporalbc_refine_r1f102s100u100_w55.csv,0.68880,55% temporal-backcast blend became the best temporal-only strength
2026-05-18,temporalbc_refine_avgr1r2_w52.csv,0.68820,temporal direction ensemble was positive but weaker than rank1 55% blend
2026-05-18,temporalbc_refine_truew555_r1f102s100u100.csv,0.68860,true 55.5% temporal blend trailed the earlier w55 candidate
2026-05-18,turncurve_rank1_temporalbest_w1tm0p25s0p5d0p98_a08.csv,0.68940,constant-turn curvature correction confirmed a new physics correction axis
2026-05-18,turncurve_refine_temporalbest_w1tm0p25s0p5d0p98_a09.csv,0.69000,0.09 curvature correction alpha produced the new public best
2026-05-18,turncurve_refine_temporalbest_w1tm0p25s0p5d0p98_a10.csv,0.68960,larger 0.10 curvature correction trailed the 0.09 peak
2026-05-19,curvgate_rank2_gatet50a105.csv,0.69100,sample-wise curvature gate with threshold 0.50 and alpha 0.105 improved over fixed curvature
2026-05-19,curvgate_rank3_gatet38a105.csv,0.69000,too-broad curvature gate threshold tied the old curvature best and showed low-confidence samples are risky
2026-05-19,curvgate_refine_rank2_gatet52a105.csv,0.69120,threshold 0.52 with alpha 0.105 became the new public best
2026-05-19,curvgate_refine_rank6_gatet50a105low025.csv,0.69040,leaving weak correction on low-confidence samples underperformed the hard gate
2026-05-19,gate_residual_exp_sh085_cap0022.csv,0.69040,experimental residual-on-gate correction did not reproduce its OOF gain on public
2026-05-20,mirror_tta_rank1_mirrortta_temporal_w55_gate_t52_a105_bestblend35.csv,0.69020,mirror-symmetry temporal TTA failed to complement the curvature gate champion
2026-05-20,multicurv_action_rank2_currentblend25actiontop3p2.csv,0.69020,multi-curvature action router also underperformed despite OOF action differences
2026-05-20,mlpseq_rank2_blend08base.csv,0.69020,MLP sequence pseudo-supervision blend did not add complementary bias
2026-05-20,curvgate_rank4_gatet54a105.csv,0.69120,threshold 0.54 with alpha 0.105 reproduced the champion score
2026-05-20,curvgate_refine_rank8_gatet52a110.csv,0.69080,alpha 0.110 overcorrected relative to alpha 0.105
2026-05-21,manifoldproj_rank2_k256_b060_cap0003.csv,0.68980,local target manifold projection looked positive in OOF but overfit public and should be demoted
2026-05-21,hitrescue_rank1_temporal55_top075.csv,0.69060,hard-swap rescue specialist was safer than manifold projection but still below the curvature-gate champion
2026-05-21,cochamp_blend_t52_t54_w50.csv,0.69120,50-50 blend of the two curvature-gate co-champions preserved the best score
2026-05-21,cochamp_blend_t52_t54_w65.csv,0.69120,t52-heavy co-champion blend also preserved the best score
2026-05-21,cochamp_blend_t52_t54_w35.csv,0.69120,t54-heavy co-champion blend also preserved the best score
2026-05-23,tempcurr_rank1_tcc5678w012v6789w006champblend15f102s100u100.csv,0.69060,fast temporal curriculum expansion underperformed the curvature-gate champion
2026-05-23,tempcurr_rank4_tcc678w022v89w004champblend15f102s100u100.csv,0.69060,more conservative temporal curriculum variant also underperformed
2026-05-23,tempcurr_rank5_tcc5678w012v6789w006cochampblend20f102s100u100.csv,0.69060,co-champion temporal curriculum blend still underperformed
2026-05-23,fastnew_rank2_snapsnapv102a035jm0p2d096blend18.csv,0.68660,jerk/snap rebound physics was a clearly weak new axis
2026-05-23,fastnew_rank1_smoothewpolyw11d2r55blend18.csv,0.67160,exp-weighted polynomial smoothing was strongly harmful and should be abandoned
2026-05-24,regimemiss_rank1_c64_min55_net0003_p165.csv,0.69060,regime miss policy failed to beat the curvature-gate champion on public
2026-05-24,analogknn_rank1_k64_p10_s012_cap00025_r100.csv,0.68860,analog KNN residual transfer was too disruptive around the champion
2026-05-24,champmicro_rank1_gatet520a1075.csv,0.69100,raising t52 gate alpha to 0.1075 overcorrected
2026-05-24,champmicro_rank3_gatet520a1025.csv,0.69140,lowering t52 gate alpha to 0.1025 produced a new public best
2026-05-24,champalpha_rank1_t52a1015.csv,0.69140,tight alpha-down follow-up around the new best tied 0.69140
2026-05-25,hitmode_rank1_localshape_k32_s0008_clustermean_r30_b18_c00008.csv,0.68980,local hit-mode retrieval looked positive in CV but failed on public
2026-05-25,champalpha2_rank1_t52a1010.csv,0.69140,ultra-fine t52 alpha 0.1010 tied the public best
2026-05-25,champalpha2_rank5_t52a1005.csv,0.69140,lower t52 alpha 0.1005 also tied confirming a broad alpha-down plateau
2026-05-25,plateaudis_rank2_stablemeanplateau.csv,0.69140,mean of public-stable plateau candidates tied but did not break through
2026-05-25,plateaudis_rank4_towarda1005top15b50.csv,0.69140,small plateau-disagreement move also tied the public best
2026-05-26,recstep_rank4_gate_osc89b005late_f100s100u100_top080_b40.csv,0.69180,recursive one-step dynamics only worked when restricted to top 8 percent gain-gated samples
2026-05-27,recstepgate27_rank1_top090_b450_f100s100u100_top090_b450.csv,0.69200,top 9 percent recursive gain gate with 45 percent move became the new public best
2026-05-27,recstepgate27_rank2_top090_b400_f100s100u100_top090_b400.csv,0.69160,top 9 percent with 40 percent move was too weak and dropped
2026-05-27,recstepgate27b_rank1_top090_b475_f100s100u100_top090_b475.csv,0.69200,stronger 47.5 percent move tied the new best and confirmed a plateau
2026-05-27,wincal27_rank1_top03s010c0008.csv,0.69200,winner residual calibrator was safe but only tied the new best
2026-05-28,selfcons28_rank1_top05b016c0018t090.csv,0.69180,self-consistency physics router was safe but did not beat the 0.692 plateau
2026-05-28,selfcons28_rank2_top025b030c0025t085.csv,0.69200,more aggressive self-consistency router tied the best but did not break through
2026-05-28,wideact28_rank1_softblend08.csv,0.69180,wide analytic physics action selector had strong OOF signal but dropped slightly on public
2026-05-28,wideact28_refine_softblend06.csv,0.69140,safer same-direction wide action refine underperformed
2026-05-28,wide_action_final_probe_unconfirmed,0.69020,reported final wide-action follow-up underperformed; exact submitted filename should be confirmed
2026-05-29,metricbias29_rank1_localfull.csv,0.69120,stable local up metric-center bias dropped on public despite strong OOF stability
2026-05-29,metricbias29_rank2_localshrink075.csv,0.69120,shrunk local up metric-center bias also dropped
2026-05-29,metricbias29_rank3_localshrink050.csv,0.69140,half-strength local up metric-center bias still missed the 0.692 plateau
2026-05-30,regimemoe30_diag_blend03_k5a05.csv,0.69100,external-AI Regime-MoE diagnostic blend was weak and should be abandoned
2026-05-30,analog_transport_20260530_winner_move_mean_k64_p2_top050_a25.csv,0.69140,orientation-equivariant analog transport low-risk probe underperformed
2026-05-31,cleanroom31_rank1_soft_p3_blend90.csv,0.65140,raw-only clean-room action selector showed severe OOF-public transfer failure and was abandoned
2026-06-01,recstepgate27_rank1_top090_b450_f100s100u100_top090_b450.csv,0.69200,final selected submission; recursive one-step top 9 percent gain gate with 45 percent move
